2025-09-07 10:10:32.061 | INFO     | src.dogbot.betfair_client:login:85 - Logged in to Betfair API
2025-09-07 10:10:32.061 | INFO     | __main__:main:36 - Strategies enabled: BACK_WIN_1
2025-09-07 10:10:32.247 | INFO     | src.dogbot.betfair_client:scan_catalogue:153 - Found 4 greyhound markets in next 10 minutes (start_time present for 4/4)
2025-09-07 10:10:32.251 | INFO     | src.dogbot.executor:run:231 - Starting polling loop…
2025-09-07 10:10:32.629 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=567s inplay=False runners=8
2025-09-07 10:10:32.630 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=87s inplay=False runners=8
2025-09-07 10:10:32.630 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:32.630 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=327s inplay=False runners=6
2025-09-07 10:10:32.630 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:32.631 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=507s inplay=False runners=8
2025-09-07 10:10:32.631 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:34.198 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=565s inplay=False runners=8
2025-09-07 10:10:34.198 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=85s inplay=False runners=8
2025-09-07 10:10:34.198 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:34.199 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=325s inplay=False runners=6
2025-09-07 10:10:34.199 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:34.199 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=505s inplay=False runners=8
2025-09-07 10:10:34.199 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:35.760 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=564s inplay=False runners=8
2025-09-07 10:10:35.760 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=84s inplay=False runners=8
2025-09-07 10:10:35.761 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:35.761 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=324s inplay=False runners=6
2025-09-07 10:10:35.761 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:35.761 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=504s inplay=False runners=8
2025-09-07 10:10:35.761 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:37.342 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=562s inplay=False runners=8
2025-09-07 10:10:37.343 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=82s inplay=False runners=8
2025-09-07 10:10:37.344 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:37.345 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=322s inplay=False runners=6
2025-09-07 10:10:37.346 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:37.346 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=502s inplay=False runners=8
2025-09-07 10:10:37.348 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:38.920 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=561s inplay=False runners=8
2025-09-07 10:10:38.920 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=81s inplay=False runners=8
2025-09-07 10:10:38.921 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:38.921 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=321s inplay=False runners=6
2025-09-07 10:10:38.921 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:38.921 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=501s inplay=False runners=8
2025-09-07 10:10:38.922 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:40.484 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=559s inplay=False runners=8
2025-09-07 10:10:40.484 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=79s inplay=False runners=8
2025-09-07 10:10:40.484 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:40.484 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=319s inplay=False runners=6
2025-09-07 10:10:40.484 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:40.484 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=499s inplay=False runners=8
2025-09-07 10:10:40.485 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:42.052 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=557s inplay=False runners=8
2025-09-07 10:10:42.052 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=77s inplay=False runners=8
2025-09-07 10:10:42.052 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:42.052 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=317s inplay=False runners=6
2025-09-07 10:10:42.052 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:42.052 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=497s inplay=False runners=8
2025-09-07 10:10:42.052 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:43.654 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=556s inplay=False runners=8
2025-09-07 10:10:43.655 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=76s inplay=False runners=8
2025-09-07 10:10:43.655 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:43.656 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=316s inplay=False runners=6
2025-09-07 10:10:43.657 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:43.658 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=496s inplay=False runners=8
2025-09-07 10:10:43.658 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:45.216 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=554s inplay=False runners=8
2025-09-07 10:10:45.216 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=74s inplay=False runners=8
2025-09-07 10:10:45.216 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:45.216 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=314s inplay=False runners=6
2025-09-07 10:10:45.216 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:45.216 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=494s inplay=False runners=8
2025-09-07 10:10:45.216 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:46.775 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=553s inplay=False runners=8
2025-09-07 10:10:46.775 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=73s inplay=False runners=8
2025-09-07 10:10:46.776 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:46.776 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=313s inplay=False runners=6
2025-09-07 10:10:46.776 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:46.776 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=493s inplay=False runners=8
2025-09-07 10:10:46.776 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:48.347 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=551s inplay=False runners=8
2025-09-07 10:10:48.348 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=71s inplay=False runners=8
2025-09-07 10:10:48.349 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:48.350 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=311s inplay=False runners=6
2025-09-07 10:10:48.350 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:48.350 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=491s inplay=False runners=8
2025-09-07 10:10:48.352 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:49.913 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=550s inplay=False runners=8
2025-09-07 10:10:49.913 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=70s inplay=False runners=8
2025-09-07 10:10:49.913 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:49.913 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=310s inplay=False runners=6
2025-09-07 10:10:49.914 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:49.914 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=490s inplay=False runners=8
2025-09-07 10:10:49.914 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:51.474 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=548s inplay=False runners=8
2025-09-07 10:10:51.474 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=68s inplay=False runners=8
2025-09-07 10:10:51.474 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:51.474 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=308s inplay=False runners=6
2025-09-07 10:10:51.474 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:51.474 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=488s inplay=False runners=8
2025-09-07 10:10:51.474 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:53.065 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=546s inplay=False runners=8
2025-09-07 10:10:53.065 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=66s inplay=False runners=8
2025-09-07 10:10:53.066 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:53.066 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=306s inplay=False runners=6
2025-09-07 10:10:53.066 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:53.066 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=486s inplay=False runners=8
2025-09-07 10:10:53.066 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:54.628 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=545s inplay=False runners=8
2025-09-07 10:10:54.628 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=65s inplay=False runners=8
2025-09-07 10:10:54.628 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:54.628 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=305s inplay=False runners=6
